Age,Attrition,TravelFrequency,DailyRate,Department,Distance,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,Role,JobSatisfaction,Marital,MonthlyIncome,MonthlyRate,NumCompanies,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,1,Rarely,1102,SALES,1,2,Life Sciences,2,FEMALE,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5
49,0,Frequently,279,RESEARCH & DEVELOPMENT,8,1,Life Sciences,3,MALE,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7
37,1,Rarely,1373,RESEARCH & DEVELOPMENT,2,2,Other,4,MALE,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0
33,0,Frequently,1392,RESEARCH & DEVELOPMENT,3,4,Life Sciences,4,FEMALE,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0
27,0,Rarely,591,RESEARCH & DEVELOPMENT,2,1,Medical,1,MALE,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2
32,0,Frequently,1005,RESEARCH & DEVELOPMENT,2,2,Life Sciences,4,MALE,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6
59,0,Rarely,1324,RESEARCH & DEVELOPMENT,3,3,Medical,3,FEMALE,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0
30,0,Rarely,1358,RESEARCH & DEVELOPMENT,24,1,Life Sciences,4,MALE,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0
38,0,Frequently,216,RESEARCH & DEVELOPMENT,23,3,Life Sciences,4,MALE,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8
36,0,Rarely,1299,RESEARCH & DEVELOPMENT,27,3,Medical,3,MALE,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7
35,0,Rarely,809,RESEARCH & DEVELOPMENT,16,3,Medical,1,MALE,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3
29,0,Rarely,153,RESEARCH & DEVELOPMENT,15,2,Life Sciences,4,FEMALE,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8
31,0,Rarely,670,RESEARCH & DEVELOPMENT,26,1,Life Sciences,1,MALE,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3
34,0,Rarely,1346,RESEARCH & DEVELOPMENT,19,2,Medical,2,MALE,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2
28,1,Rarely,103,RESEARCH & DEVELOPMENT,24,3,Life Sciences,3,MALE,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3
29,0,Rarely,1389,RESEARCH & DEVELOPMENT,21,4,Life Sciences,2,FEMALE,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8
32,0,Rarely,334,RESEARCH & DEVELOPMENT,5,2,Life Sciences,1,MALE,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5
22,0,Non-Travel,1123,RESEARCH & DEVELOPMENT,16,2,Medical,4,MALE,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0
53,0,Rarely,1219,SALES,2,4,Life Sciences,1,FEMALE,78,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7
38,0,Rarely,371,RESEARCH & DEVELOPMENT,2,3,Life Sciences,4,MALE,45,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2
24,0,Non-Travel,673,RESEARCH & DEVELOPMENT,11,2,Other,1,FEMALE,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3
36,1,Rarely,1218,SALES,9,4,Life Sciences,3,MALE,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3
34,0,Rarely,419,RESEARCH & DEVELOPMENT,7,4,Life Sciences,1,FEMALE,53,3,3,Research Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11
21,0,Rarely,391,RESEARCH & DEVELOPMENT,15,2,Life Sciences,3,MALE,96,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0
34,1,Rarely,699,RESEARCH & DEVELOPMENT,6,1,Medical,2,MALE,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3
53,0,Rarely,1282,RESEARCH & DEVELOPMENT,5,3,Other,3,FEMALE,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8
32,1,Frequently,1125,RESEARCH & DEVELOPMENT,16,1,Life Sciences,2,FEMALE,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7
42,0,Rarely,691,SALES,8,4,Marketing,3,MALE,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2
44,0,Rarely,477,RESEARCH & DEVELOPMENT,7,4,Medical,1,FEMALE,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17
46,0,Rarely,705,SALES,2,4,Marketing,2,FEMALE,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1
33,0,Rarely,924,RESEARCH & DEVELOPMENT,2,3,Medical,3,MALE,78,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0
44,0,Rarely,1459,RESEARCH & DEVELOPMENT,10,4,Other,4,MALE,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3
30,0,Rarely,125,RESEARCH & DEVELOPMENT,9,2,Medical,4,MALE,83,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8
39,1,Rarely,895,SALES,5,3,Technical Degree,4,MALE,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0
24,1,Rarely,813,RESEARCH & DEVELOPMENT,1,3,Medical,2,MALE,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0
43,0,Rarely,1273,RESEARCH & DEVELOPMENT,2,2,Medical,4,FEMALE,72,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4
